,quote,author,tags,likes
0,“Be yourself; everyone else is already taken.”,Oscar Wilde,"be-yourself,honesty,inspirational,misattributed-oscar-wilde",157508
1,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,"best,life,love,mistakes,out-of-control,truth,worst",155583
2,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,"human-nature,humor,infinity,philosophy,science,stupidity,universe",137733
3,"“So many books, so little time.”",Frank Zappa,"books,humor",135088
4,“A room without books is like a body without a soul.”,Marcus Tullius Cicero,"books,simile,soul",125650
5,"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,"ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter",123909
6,"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,"dance,heaven,hurt,inspirational,life,love,sing",121935
7,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,"dreams,love,reality,sleep",118774
8,"“You only live once, but if you do it right, once is enough.”",Mae West,"humor,life",111573
9,“Be the change that you wish to see in the world.”,Mahatma Gandhi,"action,change,inspirational,philosophy,wish",109567
10,“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,life,103727
11,"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,
  

Harry Potter and the Goblet of Fire","character,sirius-black",98496
12,“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus,"friends,friendship,misattributed-albert-camus",88218
13,"“If you tell the truth, you don't have to remember anything.”",Mark Twain,"lies,lying,memory,truth",86742
14,"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,
  

The Four Loves",friendship,85476
15,"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,NA,82448
16,“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,"friend,friendship,knowledge,love",80326
17,“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,"enemies,forgiveness,strategy",77689
18,"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,life,77264
19,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,"carpe-diem,education,inspirational,learning",74688
